FlowCell Text Data File: Liver_130525.csv
Software Version: 2.30
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.211
Date: 2025-05-13
Time: 12:39:51
User: MS AC

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW55Ti
Speed: 37 rpm
Gradient: Sucrose 10.0% to 50.0% v/v
Time: 1:00
w2t:  x 10^0
Sample Volume: 0.3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.116 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 40.8 mm
Upper Limit to Slow-down Distance: 81.40 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 20
Distance/fraction: 2.04 mm
Start Distance: 0.00 mm
Volume/fraction: 0.237 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 781850
Source A Zero: 240096.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
552121.230, 231643.940, 18.35, 0.702263, , 
553852.140, 231643.940, 18.45, 0.695219, 9, 0.234
557222.170, 231541.120, 18.56, 0.680568, , 
561455.410, 231705.710, 18.66, 0.665135, , 
565503.570, 231620.590, 18.76, 0.648140, , 
570121.770, 231705.380, 18.86, 0.630660, , 
574561.880, 231684.260, 18.96, 0.612997, , 
579489.800, 231712.690, 19.06, 0.594054, , 
584526.420, 231655.410, 19.16, 0.574022, , 
588486.770, 231651.900, 19.26, 0.558792, , 
591982.630, 231595.050, 19.36, 0.544911, , 
595182.420, 231673.010, 19.46, 0.533537, , 
596669.830, 231628.360, 19.56, 0.527486, , 
596984.730, 231623.960, 19.66, 0.526256, , 
595431.150, 231674.430, 19.76, 0.532610, , 
591407.280, 231668.130, 19.86, 0.547809, , 
585573.750, 231655.740, 19.96, 0.569997, , 
577584.000, 231559.700, 20.06, 0.599980, , 
569450.070, 231729.640, 20.17, 0.633549, , 
560273.880, 231729.640, 20.27, 0.670108, , 
551943.100, 231729.640, 20.37, 0.703821, , 
545119.780, 231729.640, 20.48, 0.731815, 10, 0.234
540369.880, 231729.640, 20.58, 0.751510, , 
537454.490, 231609.280, 20.68, 0.762516, , 
536086.900, 231612.480, 20.78, 0.768280, , 
536566.360, 231650.000, 20.88, 0.766633, , 
538246.800, 231579.580, 20.98, 0.758912, , 
540922.000, 231547.620, 21.08, 0.747444, , 
545077.030, 231591.720, 21.18, 0.730652, , 
549551.310, 231684.450, 21.28, 0.713156, , 
554261.310, 231640.800, 21.38, 0.693526, , 
558854.230, 231625.750, 21.48, 0.674808, , 
562609.280, 231582.380, 21.58, 0.659316, , 
566071.190, 231624.260, 21.68, 0.645918, , 
568391.010, 231617.000, 21.78, 0.636644, , 
568660.720, 231529.780, 21.89, 0.634729, , 
567225.810, 231578.610, 21.99, 0.640889, , 
563510.790, 231587.050, 22.09, 0.655759, , 
557714.830, 231478.760, 22.19, 0.677973, , 
550745.110, 231478.760, 22.29, 0.706273, , 
544164.600, 231478.760, 22.39, 0.733324, , 
537956.930, 231478.760, 22.49, 0.759144, 11, 0.234
532333.480, 231478.760, 22.59, 0.782793, , 
528247.870, 231565.520, 22.69, 0.800974, , 
526417.420, 231678.850, 22.79, 0.809887, , 
525824.970, 231694.510, 22.90, 0.812573, , 
526007.490, 231531.790, 23.00, 0.810211, , 
527678.750, 231564.200, 23.10, 0.803388, , 
530658.820, 231595.680, 23.20, 0.791020, , 
533780.960, 231486.060, 23.30, 0.776753, , 
537045.740, 231485.750, 23.40, 0.763027, , 
540587.000, 231630.400, 23.50, 0.749642, , 
543848.220, 231659.170, 23.60, 0.736386, , 
545371.700, 231608.420, 23.70, 0.729598, , 
544976.870, 231585.510, 23.80, 0.731005, , 
544091.720, 231534.890, 23.90, 0.734171, , 
541995.510, 231564.130, 24.00, 0.743143, , 
538091.830, 231585.260, 24.10, 0.759615, , 
533674.100, 231552.750, 24.21, 0.777852, , 
530016.570, 231552.750, 24.31, 0.793328, , 
525517.270, 231552.750, 24.41, 0.812513, , 
522969.010, 231552.750, 24.51, 0.823452, 12, 0.234
521852.330, 231552.750, 24.61, 0.828263, , 
521262.060, 231565.090, 24.71, 0.830930, , 
521488.720, 231576.440, 24.81, 0.830062, , 
523025.810, 231597.510, 24.91, 0.823643, , 
525446.480, 231881.700, 25.02, 0.816011, , 
527748.090, 232050.370, 25.12, 0.807812, , 
528877.510, 231848.130, 25.22, 0.801039, , 
528896.700, 231431.860, 25.32, 0.796913, , 
529074.110, 231478.080, 25.42, 0.796607, , 
528743.780, 231597.690, 25.52, 0.799175, , 
527443.270, 231553.850, 25.62, 0.804291, , 
525532.970, 231581.380, 25.72, 0.812724, , 
523579.910, 231592.720, 25.82, 0.821214, , 
521497.640, 231589.010, 25.92, 0.830145, , 
519369.730, 231594.820, 26.02, 0.839403, , 
518289.470, 231606.280, 26.12, 0.844200, , 
517823.550, 231718.890, 26.22, 0.847318, , 
517659.380, 231718.890, 26.33, 0.848032, , 
517618.200, 231718.890, 26.43, 0.848211, , 
517850.980, 231718.890, 26.53, 0.847199, , 
518286.780, 231718.890, 26.63, 0.845306, 13, 0.246
518718.740, 231533.950, 26.73, 0.841634, , 
519160.450, 231522.620, 26.83, 0.839609, , 
519151.570, 231514.320, 26.93, 0.839566, , 
518582.660, 231564.950, 27.03, 0.842526, , 
517696.810, 231570.890, 27.13, 0.846431, , 
516362.780, 231435.590, 27.24, 0.850922, , 
515506.760, 231552.630, 27.34, 0.855794, , 
514348.930, 231492.170, 27.44, 0.860267, , 
513575.190, 231542.680, 27.54, 0.864145, , 
513092.300, 231552.560, 27.64, 0.866358, , 
512750.920, 231561.870, 27.74, 0.867947, , 
512612.100, 231639.660, 27.84, 0.869312, , 
512467.390, 231575.880, 27.94, 0.869328, , 
512187.100, 231534.930, 28.04, 0.870161, , 
511821.600, 231530.430, 28.14, 0.871724, , 
511495.170, 231549.930, 28.24, 0.873349, , 
511080.680, 231511.250, 28.34, 0.874797, , 
510367.000, 231511.250, 28.44, 0.877942, , 
509702.980, 231511.250, 28.55, 0.880872, , 
509494.690, 231511.250, 28.65, 0.881792, 14, 0.234
509038.210, 231511.250, 28.75, 0.883809, , 
508858.070, 231477.330, 28.85, 0.884276, , 
508838.430, 231487.010, 28.95, 0.884457, , 
508359.410, 231456.620, 29.05, 0.886281, , 
507907.780, 231442.610, 29.15, 0.888145, , 
507713.450, 231486.950, 29.25, 0.889437, , 
507499.440, 231499.330, 29.36, 0.890506, , 
507374.420, 231526.130, 29.46, 0.891321, , 
507120.100, 231507.930, 29.56, 0.892272, , 
506901.020, 231524.950, 29.66, 0.893410, , 
506983.010, 231520.160, 29.76, 0.893000, , 
507039.310, 231521.520, 29.86, 0.892763, , 
506830.820, 231434.610, 29.96, 0.892844, , 
506782.490, 231455.900, 30.06, 0.893265, , 
506380.320, 231459.850, 30.16, 0.895090, , 
506280.120, 231429.640, 30.26, 0.895242, , 
506409.470, 231436.780, 30.36, 0.894737, , 
506889.520, 231533.490, 30.46, 0.893544, , 
507024.890, 231520.870, 30.56, 0.892821, , 
507020.330, 231520.870, 30.67, 0.892841, 15, 0.234
507106.880, 231520.870, 30.77, 0.892457, , 
506822.600, 231522.290, 30.87, 0.893733, , 
507187.480, 231527.670, 30.97, 0.892165, , 
507304.780, 231563.720, 31.07, 0.891995, , 
507539.800, 231533.950, 31.17, 0.890664, , 
507227.730, 231526.830, 31.27, 0.891979, , 
507366.050, 231560.620, 31.37, 0.891693, , 
507394.430, 231503.030, 31.47, 0.891008, , 
508090.690, 231548.420, 31.57, 0.888363, , 
